"","as.matrix.chargers_forecast.","year_list","county"
"129",1194.16366574953,2028,"Fresno"
"130",1251.73550525063,2029,"Fresno"
"131",1309.30734475173,2030,"Fresno"
"132",1366.87918425283,2031,"Fresno"
"133",1424.45102375393,2032,"Fresno"
"134",1482.02286325504,2033,"Fresno"
"135",1539.59470275614,2034,"Fresno"
"136",1597.16654225724,2035,"Fresno"
"137",123.643042927311,2018,"Humboldt"
"138",135.084449379665,2019,"Humboldt"
"139",146.539702958611,2020,"Humboldt"
"140",157.994956537556,2021,"Humboldt"
"141",169.450210116501,2022,"Humboldt"
"142",180.905463695446,2023,"Humboldt"
"143",192.360717274392,2024,"Humboldt"
"144",203.815970853337,2025,"Humboldt"
"145",215.271224432282,2026,"Humboldt"
"146",226.726478011227,2027,"Humboldt"
"147",238.181731590173,2028,"Humboldt"
"148",249.636985169118,2029,"Humboldt"
"149",261.092238748063,2030,"Humboldt"
"150",272.547492327008,2031,"Humboldt"
"151",284.002745905954,2032,"Humboldt"
"152",295.457999484899,2033,"Humboldt"
"153",306.913253063844,2034,"Humboldt"
"154",318.368506642789,2035,"Humboldt"
"155",129.091945461884,2015,"Imperial"
"156",155.840829798574,2016,"Imperial"
"157",179.952689396836,2017,"Imperial"
"158",204.064548995098,2018,"Imperial"
"159",228.17640859336,2019,"Imperial"
"160",252.288268191621,2020,"Imperial"
"161",276.400127789883,2021,"Imperial"
"162",300.511987388145,2022,"Imperial"
"163",324.623846986407,2023,"Imperial"
"164",348.735706584669,2024,"Imperial"
"165",372.84756618293,2025,"Imperial"
"166",396.959425781192,2026,"Imperial"
"167",421.071285379454,2027,"Imperial"
"168",445.183144977716,2028,"Imperial"
"169",469.295004575977,2029,"Imperial"
"170",493.406864174239,2030,"Imperial"
"171",517.518723772501,2031,"Imperial"
"172",541.630583370763,2032,"Imperial"
"173",565.742442969025,2033,"Imperial"
"174",589.854302567286,2034,"Imperial"
"175",613.966162165548,2035,"Imperial"
"176",294.118064749027,2020,"Kern"
"177",280.339140494683,2021,"Kern"
"178",304.211828772144,2022,"Kern"
"179",328.084517049606,2023,"Kern"
"180",351.957205327067,2024,"Kern"
"181",375.829893604529,2025,"Kern"
"182",399.70258188199,2026,"Kern"
"183",423.575270159452,2027,"Kern"
"184",447.447958436913,2028,"Kern"
"185",471.320646714375,2029,"Kern"
"186",495.193334991836,2030,"Kern"
"187",519.066023269298,2031,"Kern"
"188",542.938711546759,2032,"Kern"
"189",566.811399824221,2033,"Kern"
"190",590.684088101683,2034,"Kern"
"191",614.556776379144,2035,"Kern"
"192",140.179731578751,2019,"Kings"
"193",164.146575750327,2020,"Kings"
"194",190.625033207866,2021,"Kings"
"195",217.103490665404,2022,"Kings"
"196",243.581948122943,2023,"Kings"
"197",270.060405580482,2024,"Kings"
"198",296.538863038021,2025,"Kings"
"199",323.017320495559,2026,"Kings"
"200",349.495777953098,2027,"Kings"
"201",375.974235410637,2028,"Kings"
"202",402.452692868176,2029,"Kings"
"203",428.931150325714,2030,"Kings"
"204",455.409607783253,2031,"Kings"
"205",481.888065240792,2032,"Kings"
"206",508.366522698331,2033,"Kings"
"207",534.84498015587,2034,"Kings"
"208",561.323437613408,2035,"Kings"
"209",14.7000005708401,2019,"Lake"
"210",17.4000008416822,2020,"Lake"
"211",19.7500011271044,2021,"Lake"
"212",22.1000014125265,2022,"Lake"
"213",24.4500016979486,2023,"Lake"
"214",26.8000019833708,2024,"Lake"
"215",29.1500022687929,2025,"Lake"
"216",31.5000025542151,2026,"Lake"
"217",33.8500028396372,2027,"Lake"
"218",36.2000031250593,2028,"Lake"
"219",38.5500034104815,2029,"Lake"
"220",40.9000036959036,2030,"Lake"
"221",43.2500039813257,2031,"Lake"
"222",45.6000042667479,2032,"Lake"
"223",47.95000455217,2033,"Lake"
"224",50.3000048375922,2034,"Lake"
"225",52.6500051230143,2035,"Lake"
"226",8751.2284666236,2013,"Los Angeles"
"227",11835.4569398248,2014,"Los Angeles"
"228",12354.3449907945,2015,"Los Angeles"
"229",12873.2330417642,2016,"Los Angeles"
"230",13392.121092734,2017,"Los Angeles"
"231",13911.0091437037,2018,"Los Angeles"
"232",14429.8971946734,2019,"Los Angeles"
"233",14948.7852456432,2020,"Los Angeles"
"234",15467.6732966129,2021,"Los Angeles"
"235",15986.5613475826,2022,"Los Angeles"
"236",16505.4493985523,2023,"Los Angeles"
"237",17024.3374495221,2024,"Los Angeles"
"238",17543.2255004918,2025,"Los Angeles"
"239",18062.1135514615,2026,"Los Angeles"
"240",18581.0016024312,2027,"Los Angeles"
"241",19099.889653401,2028,"Los Angeles"
"242",19618.7777043707,2029,"Los Angeles"
"243",20137.6657553404,2030,"Los Angeles"
"244",20656.5538063101,2031,"Los Angeles"
"245",21175.4418572799,2032,"Los Angeles"
"246",21694.3299082496,2033,"Los Angeles"
"247",22213.2179592193,2034,"Los Angeles"
"248",22732.1060101891,2035,"Los Angeles"
"249",113.075939415528,2020,"Madera"
"250",125.254197499689,2021,"Madera"
"251",141.375500734803,2022,"Madera"
"252",157.496803969917,2023,"Madera"
"253",173.618107205032,2024,"Madera"
"254",189.739410440146,2025,"Madera"
"255",205.860713675261,2026,"Madera"
"256",221.982016910375,2027,"Madera"
"257",238.103320145489,2028,"Madera"
"258",254.224623380604,2029,"Madera"
"259",270.345926615718,2030,"Madera"
"260",286.467229850833,2031,"Madera"
"261",302.588533085947,2032,"Madera"
"262",318.709836321062,2033,"Madera"
"263",334.831139556176,2034,"Madera"
"264",350.95244279129,2035,"Madera"
"265",550.566891659385,2018,"Marin"
"266",427.951640631244,2019,"Marin"
"267",457.168199649509,2020,"Marin"
"268",486.384758667774,2021,"Marin"
"269",515.601317686039,2022,"Marin"
"270",544.817876704305,2023,"Marin"
"271",574.03443572257,2024,"Marin"
"272",603.250994740835,2025,"Marin"
"273",632.4675537591,2026,"Marin"
"274",661.684112777366,2027,"Marin"
"275",690.900671795631,2028,"Marin"
"276",720.117230813896,2029,"Marin"
"277",749.333789832162,2030,"Marin"
"278",778.550348850427,2031,"Marin"
"279",807.766907868692,2032,"Marin"
"280",836.983466886957,2033,"Marin"
"281",866.200025905223,2034,"Marin"
"282",895.416584923488,2035,"Marin"
"283",20.3959740806311,2016,"Mariposa"
"284",22.8660479817943,2017,"Mariposa"
"285",25.9424579804481,2018,"Mariposa"
"286",29.0188679791018,2019,"Mariposa"
"287",32.0952779777556,2020,"Mariposa"
"288",35.1716879764093,2021,"Mariposa"
"289",38.2480979750631,2022,"Mariposa"
"290",41.3245079737168,2023,"Mariposa"
"291",44.4009179723706,2024,"Mariposa"
"292",47.4773279710243,2025,"Mariposa"
"293",50.5537379696781,2026,"Mariposa"
"294",53.6301479683318,2027,"Mariposa"
"295",56.7065579669856,2028,"Mariposa"
"296",59.7829679656393,2029,"Mariposa"
"297",62.8593779642931,2030,"Mariposa"
"298",65.9357879629468,2031,"Mariposa"
"299",69.0121979616006,2032,"Mariposa"
"300",72.0886079602544,2033,"Mariposa"
"301",75.1650179589081,2034,"Mariposa"
"302",78.2414279575619,2035,"Mariposa"
"303",146.349460633357,2019,"Mendocino"
"304",161.59815319855,2020,"Mendocino"
"305",172.598233909088,2021,"Mendocino"
"306",183.598314619627,2022,"Mendocino"
"307",194.598395330165,2023,"Mendocino"
"308",205.598476040703,2024,"Mendocino"
"309",216.598556751241,2025,"Mendocino"
"310",227.598637461779,2026,"Mendocino"
"311",238.598718172317,2027,"Mendocino"
"312",249.598798882855,2028,"Mendocino"
"313",260.598879593393,2029,"Mendocino"
"314",271.598960303931,2030,"Mendocino"
"315",282.599041014469,2031,"Mendocino"
"316",293.599121725007,2032,"Mendocino"
"317",304.599202435545,2033,"Mendocino"
"318",315.599283146083,2034,"Mendocino"
"319",326.599363856621,2035,"Mendocino"
"320",198.136628201723,2018,"Merced"
"321",218.271072427773,2019,"Merced"
"322",237.075657188265,2020,"Merced"
"323",255.880241948757,2021,"Merced"
"324",274.684826709249,2022,"Merced"
"325",293.489411469741,2023,"Merced"
"326",312.293996230233,2024,"Merced"
"327",331.098580990725,2025,"Merced"
"328",349.903165751217,2026,"Merced"
"329",368.70775051171,2027,"Merced"
"330",387.512335272202,2028,"Merced"
"331",406.316920032694,2029,"Merced"
"332",425.121504793186,2030,"Merced"
"333",443.926089553678,2031,"Merced"
"334",462.73067431417,2032,"Merced"
"335",481.535259074662,2033,"Merced"
"336",500.339843835154,2034,"Merced"
"337",519.144428595646,2035,"Merced"
"338",427.493559144009,2019,"Monterey"
"339",437.056404180642,2020,"Monterey"
"340",468.223301774655,2021,"Monterey"
"341",499.390199368667,2022,"Monterey"
"342",530.557096962679,2023,"Monterey"
"343",561.723994556692,2024,"Monterey"
"344",592.890892150704,2025,"Monterey"
"345",624.057789744717,2026,"Monterey"
"346",655.224687338729,2027,"Monterey"
"347",686.391584932741,2028,"Monterey"
"348",717.558482526754,2029,"Monterey"
"349",748.725380120766,2030,"Monterey"
"350",779.892277714779,2031,"Monterey"
"351",811.059175308791,2032,"Monterey"
"352",842.226072902803,2033,"Monterey"
"353",873.392970496816,2034,"Monterey"
"354",904.559868090828,2035,"Monterey"
"355",322.024871645114,2019,"Napa"
"356",337.829747534114,2020,"Napa"
"357",370.484704747777,2021,"Napa"
"358",403.139661961441,2022,"Napa"
"359",435.794619175104,2023,"Napa"
"360",468.449576388768,2024,"Napa"
"361",501.104533602432,2025,"Napa"
"362",533.759490816095,2026,"Napa"
"363",566.414448029759,2027,"Napa"
"364",599.069405243422,2028,"Napa"
"365",631.724362457086,2029,"Napa"
"366",664.37931967075,2030,"Napa"
"367",697.034276884413,2031,"Napa"
"368",729.689234098077,2032,"Napa"
"369",762.34419131174,2033,"Napa"
"370",794.999148525404,2034,"Napa"
"371",827.654105739068,2035,"Napa"
"372",129.513751661292,2019,"Nevada"
"373",136.356908017394,2020,"Nevada"
"374",151.829735947189,2021,"Nevada"
"375",167.302563876983,2022,"Nevada"
"376",182.775391806778,2023,"Nevada"
"377",198.248219736572,2024,"Nevada"
"378",213.721047666367,2025,"Nevada"
"379",229.193875596161,2026,"Nevada"
"380",244.666703525956,2027,"Nevada"
"381",260.13953145575,2028,"Nevada"
"382",275.612359385545,2029,"Nevada"
"383",291.085187315339,2030,"Nevada"
"384",306.558015245134,2031,"Nevada"
"385",322.030843174928,2032,"Nevada"
"386",337.503671104723,2033,"Nevada"
"387",352.976499034517,2034,"Nevada"
"388",368.449326964312,2035,"Nevada"
"389",3385.6715541714,2013,"Orange"
"390",2731.6782867118,2014,"Orange"
"391",2925.05720983705,2015,"Orange"
"392",3118.43613296231,2016,"Orange"
"393",3311.81505608757,2017,"Orange"
"394",3505.19397921282,2018,"Orange"
"395",3698.57290233808,2019,"Orange"
"396",3891.95182546334,2020,"Orange"
"397",4085.3307485886,2021,"Orange"
"398",4278.70967171385,2022,"Orange"
"399",4472.08859483911,2023,"Orange"
"400",4665.46751796437,2024,"Orange"
"401",4858.84644108962,2025,"Orange"
"402",5052.22536421488,2026,"Orange"
"403",5245.60428734014,2027,"Orange"
"404",5438.9832104654,2028,"Orange"
"405",5632.36213359065,2029,"Orange"
"406",5825.74105671591,2030,"Orange"
"407",6019.11997984117,2031,"Orange"
"408",6212.49890296642,2032,"Orange"
"409",6405.87782609168,2033,"Orange"
"410",6599.25674921694,2034,"Orange"
"411",6792.63567234219,2035,"Orange"
"412",286.193511531718,2008,"Placer"
"413",276.670011831566,2009,"Placer"
"414",297.991824452743,2010,"Placer"
"415",319.313637073919,2011,"Placer"
"416",340.635449695095,2012,"Placer"
"417",361.957262316272,2013,"Placer"
"418",383.279074937448,2014,"Placer"
"419",404.600887558625,2015,"Placer"
"420",425.922700179801,2016,"Placer"
"421",447.244512800977,2017,"Placer"
"422",468.566325422154,2018,"Placer"
"423",489.88813804333,2019,"Placer"
"424",511.209950664507,2020,"Placer"
"425",532.531763285683,2021,"Placer"
"426",553.853575906859,2022,"Placer"
"427",575.175388528036,2023,"Placer"
"428",596.497201149212,2024,"Placer"
"429",617.819013770389,2025,"Placer"
"430",639.140826391565,2026,"Placer"
"431",660.462639012742,2027,"Placer"
"432",681.784451633918,2028,"Placer"
"433",703.106264255094,2029,"Placer"
"434",724.428076876271,2030,"Placer"
"435",745.749889497447,2031,"Placer"
"436",767.071702118624,2032,"Placer"
"437",788.3935147398,2033,"Placer"
"438",809.715327360976,2034,"Placer"
"439",831.037139982153,2035,"Placer"
"440",1493.26709324215,2009,"Riverside"
"441",1607.13020790462,2010,"Riverside"
"442",1712.79651438687,2011,"Riverside"
"443",1818.46282086912,2012,"Riverside"
"444",1924.12912735137,2013,"Riverside"
"445",2029.79543383362,2014,"Riverside"
"446",2135.46174031587,2015,"Riverside"
"447",2241.12804679812,2016,"Riverside"
"448",2346.79435328037,2017,"Riverside"
"449",2452.46065976262,2018,"Riverside"
"450",2558.12696624487,2019,"Riverside"
"451",2663.79327272712,2020,"Riverside"
"452",2769.45957920937,2021,"Riverside"
"453",2875.12588569162,2022,"Riverside"
"454",2980.79219217387,2023,"Riverside"
"455",3086.45849865612,2024,"Riverside"
"456",3192.12480513837,2025,"Riverside"
"457",3297.79111162062,2026,"Riverside"
"458",3403.45741810287,2027,"Riverside"
"459",3509.12372458511,2028,"Riverside"
"460",3614.79003106736,2029,"Riverside"
"461",3720.45633754961,2030,"Riverside"
"462",3826.12264403186,2031,"Riverside"
"463",3931.78895051411,2032,"Riverside"
"464",4037.45525699636,2033,"Riverside"
"465",4143.12156347861,2034,"Riverside"
"466",4248.78786996086,2035,"Riverside"
"467",1013.09582699593,2010,"Sacramento"
"468",994.394705282467,2011,"Sacramento"
"469",1058.4263354889,2012,"Sacramento"
"470",1122.45796569533,2013,"Sacramento"
"471",1186.48959590177,2014,"Sacramento"
"472",1250.5212261082,2015,"Sacramento"
"473",1314.55285631464,2016,"Sacramento"
"474",1378.58448652107,2017,"Sacramento"
"475",1442.6161167275,2018,"Sacramento"
"476",1506.64774693394,2019,"Sacramento"
"477",1570.67937714037,2020,"Sacramento"
"478",1634.7110073468,2021,"Sacramento"
"479",1698.74263755324,2022,"Sacramento"
"480",1762.77426775967,2023,"Sacramento"
"481",1826.80589796611,2024,"Sacramento"
"482",1890.83752817254,2025,"Sacramento"
"483",1954.86915837897,2026,"Sacramento"
"484",2018.90078858541,2027,"Sacramento"
"485",2082.93241879184,2028,"Sacramento"
"486",2146.96404899827,2029,"Sacramento"
"487",2210.99567920471,2030,"Sacramento"
"488",2275.02730941114,2031,"Sacramento"
"489",2339.05893961757,2032,"Sacramento"
"490",2403.09056982401,2033,"Sacramento"
"491",2467.12220003044,2034,"Sacramento"
"492",2531.15383023688,2035,"Sacramento"
"493",1182.21973387097,2009,"San Bernardino"
"494",1045.99465622175,2010,"San Bernardino"
"495",1125.4383868093,2011,"San Bernardino"
"496",1204.88211739685,2012,"San Bernardino"
"497",1284.3258479844,2013,"San Bernardino"
"498",1363.76957857195,2014,"San Bernardino"
"499",1443.2133091595,2015,"San Bernardino"
"500",1522.65703974705,2016,"San Bernardino"
"501",1602.1007703346,2017,"San Bernardino"
"502",1681.54450092215,2018,"San Bernardino"
"503",1760.9882315097,2019,"San Bernardino"
"504",1840.43196209725,2020,"San Bernardino"
"505",1919.8756926848,2021,"San Bernardino"
"506",1999.31942327236,2022,"San Bernardino"
"507",2078.76315385991,2023,"San Bernardino"
"508",2158.20688444746,2024,"San Bernardino"
"509",2237.65061503501,2025,"San Bernardino"
"510",2317.09434562256,2026,"San Bernardino"
"511",2396.53807621011,2027,"San Bernardino"
"512",2475.98180679766,2028,"San Bernardino"
"513",2555.42553738521,2029,"San Bernardino"
"514",2634.86926797276,2030,"San Bernardino"
"515",2714.31299856031,2031,"San Bernardino"
"516",2793.75672914786,2032,"San Bernardino"
"517",2873.20045973541,2033,"San Bernardino"
"518",2952.64419032296,2034,"San Bernardino"
"519",3032.08792091051,2035,"San Bernardino"
"520",2644.99795773208,2009,"San Diego"
"521",2425.63312370096,2010,"San Diego"
"522",2584.28970671511,2011,"San Diego"
"523",2742.94628972926,2012,"San Diego"
"524",2901.60287274341,2013,"San Diego"
"525",3060.25945575756,2014,"San Diego"
"526",3218.91603877171,2015,"San Diego"
"527",3377.57262178586,2016,"San Diego"
"528",3536.22920480001,2017,"San Diego"
"529",3694.88578781416,2018,"San Diego"
"530",3853.54237082831,2019,"San Diego"
"531",4012.19895384246,2020,"San Diego"
"532",4170.85553685661,2021,"San Diego"
"533",4329.51211987076,2022,"San Diego"
"534",4488.16870288491,2023,"San Diego"
"535",4646.82528589906,2024,"San Diego"
"536",4805.48186891321,2025,"San Diego"
"537",4964.13845192736,2026,"San Diego"
"538",5122.79503494152,2027,"San Diego"
"539",5281.45161795567,2028,"San Diego"
"540",5440.10820096982,2029,"San Diego"
"541",5598.76478398397,2030,"San Diego"
"542",5757.42136699812,2031,"San Diego"
"543",5916.07795001227,2032,"San Diego"
"544",6074.73453302642,2033,"San Diego"
"545",6233.39111604057,2034,"San Diego"
"546",6392.04769905472,2035,"San Diego"
"547",292.765753491523,2021,"San Joaquin"
"548",308.624353485231,2022,"San Joaquin"
"549",328.800826887837,2023,"San Joaquin"
"550",348.977300290444,2024,"San Joaquin"
"551",369.153773693051,2025,"San Joaquin"
"552",389.330247095657,2026,"San Joaquin"
"553",409.506720498264,2027,"San Joaquin"
"554",429.683193900871,2028,"San Joaquin"
"555",449.859667303477,2029,"San Joaquin"
"556",470.036140706084,2030,"San Joaquin"
"557",490.21261410869,2031,"San Joaquin"
"558",510.389087511297,2032,"San Joaquin"
"559",530.565560913904,2033,"San Joaquin"
"560",550.74203431651,2034,"San Joaquin"
"561",570.918507719117,2035,"San Joaquin"
"562",466.139376663821,2012,"San Luis Obispo"
"563",502.752509130572,2013,"San Luis Obispo"
"564",535.839687772784,2014,"San Luis Obispo"
"565",568.926866414997,2015,"San Luis Obispo"
"566",602.01404505721,2016,"San Luis Obispo"
"567",635.101223699422,2017,"San Luis Obispo"
"568",668.188402341635,2018,"San Luis Obispo"
"569",701.275580983847,2019,"San Luis Obispo"
"570",734.362759626059,2020,"San Luis Obispo"
"571",767.449938268272,2021,"San Luis Obispo"
"572",800.537116910484,2022,"San Luis Obispo"
"573",833.624295552697,2023,"San Luis Obispo"
"574",866.711474194909,2024,"San Luis Obispo"
"575",899.798652837122,2025,"San Luis Obispo"
"576",932.885831479334,2026,"San Luis Obispo"
"577",965.973010121547,2027,"San Luis Obispo"
"578",999.060188763759,2028,"San Luis Obispo"
"579",1032.14736740597,2029,"San Luis Obispo"
"580",1065.23454604818,2030,"San Luis Obispo"
"581",1098.3217246904,2031,"San Luis Obispo"
"582",1131.40890333261,2032,"San Luis Obispo"
"583",1164.49608197482,2033,"San Luis Obispo"
"584",1197.58326061703,2034,"San Luis Obispo"
"585",1230.67043925925,2035,"San Luis Obispo"
"586",4260.45353310496,2011,"San Mateo"
"587",3720.23110942003,2012,"San Mateo"
"588",3905.39293894263,2013,"San Mateo"
"589",4090.55476846524,2014,"San Mateo"
"590",4275.71659798784,2015,"San Mateo"
"591",4460.87842751044,2016,"San Mateo"
"592",4646.04025703304,2017,"San Mateo"
"593",4831.20208655565,2018,"San Mateo"
"594",5016.36391607825,2019,"San Mateo"
"595",5201.52574560085,2020,"San Mateo"
"596",5386.68757512345,2021,"San Mateo"
"597",5571.84940464605,2022,"San Mateo"
"598",5757.01123416866,2023,"San Mateo"
"599",5942.17306369126,2024,"San Mateo"
"600",6127.33489321386,2025,"San Mateo"
"601",6312.49672273646,2026,"San Mateo"
"602",6497.65855225907,2027,"San Mateo"
"603",6682.82038178167,2028,"San Mateo"
"604",6867.98221130427,2029,"San Mateo"
"605",7053.14404082687,2030,"San Mateo"
"606",7238.30587034948,2031,"San Mateo"
"607",7423.46769987208,2032,"San Mateo"
"608",7608.62952939468,2033,"San Mateo"
"609",7793.79135891728,2034,"San Mateo"
"610",7978.95318843989,2035,"San Mateo"
"611",351.590630687388,2021,"Santa Barbara"
"612",322.436148885276,2022,"Santa Barbara"
"613",345.768368787033,2023,"Santa Barbara"
"614",369.100588688789,2024,"Santa Barbara"
"615",392.432808590545,2025,"Santa Barbara"
"616",415.765028492302,2026,"Santa Barbara"
"617",439.097248394058,2027,"Santa Barbara"
"618",462.429468295815,2028,"Santa Barbara"
"619",485.761688197571,2029,"Santa Barbara"
"620",509.093908099327,2030,"Santa Barbara"
"621",532.426128001084,2031,"Santa Barbara"
"622",555.75834790284,2032,"Santa Barbara"
"623",579.090567804597,2033,"Santa Barbara"
"624",602.422787706353,2034,"Santa Barbara"
"625",625.755007608109,2035,"Santa Barbara"
"626",3904.73111388699,2020,"Santa Clara"
"627",5430.44009675056,2021,"Santa Clara"
"628",5762.39176717396,2022,"Santa Clara"
"629",6094.34343759735,2023,"Santa Clara"
"630",6426.29510802075,2024,"Santa Clara"
"631",6758.24677844414,2025,"Santa Clara"
"632",7090.19844886754,2026,"Santa Clara"
"633",7422.15011929093,2027,"Santa Clara"
"634",7754.10178971432,2028,"Santa Clara"
"635",8086.05346013772,2029,"Santa Clara"
"636",8418.00513056111,2030,"Santa Clara"
"637",8749.95680098451,2031,"Santa Clara"
"638",9081.9084714079,2032,"Santa Clara"
"639",9413.8601418313,2033,"Santa Clara"
"640",9745.81181225469,2034,"Santa Clara"
"641",10077.7634826781,2035,"Santa Clara"
"642",221.455620026895,2006,"Santa Cruz"
"643",231.656707183086,2007,"Santa Cruz"
"644",252.519963134126,2008,"Santa Cruz"
"645",273.383219085165,2009,"Santa Cruz"
"646",294.246475036205,2010,"Santa Cruz"
"647",315.109730987244,2011,"Santa Cruz"
"648",335.972986938284,2012,"Santa Cruz"
"649",356.836242889323,2013,"Santa Cruz"
"650",377.699498840363,2014,"Santa Cruz"
"651",398.562754791402,2015,"Santa Cruz"
"652",419.426010742442,2016,"Santa Cruz"
"653",440.289266693481,2017,"Santa Cruz"
"654",461.152522644521,2018,"Santa Cruz"
"655",482.01577859556,2019,"Santa Cruz"
"656",502.8790345466,2020,"Santa Cruz"
"657",523.742290497639,2021,"Santa Cruz"
"658",544.605546448679,2022,"Santa Cruz"
"659",565.468802399718,2023,"Santa Cruz"
